Word	Indices	GP sum	GP sum red header	Plaintext minus ciphertext	Plaintext plus ciphertext	Ciphertext_minus_plaintext
gorgonian	[6, 3, 4, 6, 3, 9, 27, 9]	224	321	[16, 11, 10, 8, 1, 24, 17, 19]	[25, 24, 27, 4, 5, 23, 8, 28]	[13, 18, 19, 21, 28, 5, 12, 10]
gospeler	[6, 3, 15, 13, 18, 20, 18, 4]	338	435	[16, 11, 21, 15, 16, 6, 8, 14]	[25, 24, 9, 11, 20, 5, 28, 23]	[13, 18, 8, 14, 13, 23, 21, 15]
gossamer	[6, 3, 15, 15, 24, 19, 18, 4]	376	473	[16, 11, 21, 17, 22, 5, 8, 14]	[25, 24, 9, 13, 26, 4, 28, 23]	[13, 18, 8, 12, 7, 24, 21, 15]
gossiper	[6, 3, 15, 15, 10, 13, 18, 4]	282	379	[16, 11, 21, 17, 8, 28, 8, 14]	[25, 24, 9, 13, 12, 27, 28, 23]	[13, 18, 8, 12, 21, 1, 21, 15]
gourmand	[6, 3, 1, 4, 19, 24, 9, 23]	324	421	[16, 11, 7, 6, 17, 10, 28, 4]	[25, 24, 24, 2, 21, 9, 19, 13]	[13, 18, 22, 23, 12, 19, 1, 25]
governed	[6, 3, 1, 18, 4, 9, 18, 23]	290	387	[16, 11, 7, 20, 2, 24, 8, 4]	[25, 24, 24, 16, 6, 23, 28, 13]	[13, 18, 22, 9, 27, 5, 21, 25]
governor	[6, 3, 1, 18, 4, 9, 3, 4]	152	249	[16, 11, 7, 20, 2, 24, 22, 14]	[25, 24, 24, 16, 6, 23, 13, 23]	[13, 18, 22, 9, 27, 5, 7, 15]
gradation	[6, 4, 24, 23, 24, 16, 27, 9]	506	603	[16, 12, 1, 25, 22, 2, 17, 19]	[25, 25, 18, 21, 26, 1, 8, 28]	[13, 17, 28, 4, 7, 27, 12, 10]
gradient	[6, 4, 24, 23, 10, 18, 9, 16]	400	497	[16, 12, 1, 25, 8, 4, 28, 26]	[25, 25, 18, 21, 12, 3, 19, 6]	[13, 17, 28, 4, 21, 25, 1, 3]
graduate	[6, 4, 24, 23, 1, 24, 16, 18]	440	537	[16, 12, 1, 25, 28, 10, 6, 28]	[25, 25, 18, 21, 3, 9, 26, 8]	[13, 17, 28, 4, 1, 19, 23, 1]
graffiti	[6, 4, 24, 0, 0, 10, 16, 10]	250	347	[16, 12, 1, 2, 27, 25, 6, 20]	[25, 25, 18, 27, 2, 24, 26, 0]	[13, 17, 28, 27, 2, 4, 23, 9]
graffito	[6, 4, 24, 0, 0, 10, 16, 3]	226	323	[16, 12, 1, 2, 27, 25, 6, 13]	[25, 25, 18, 27, 2, 24, 26, 22]	[13, 17, 28, 27, 2, 4, 23, 16]
grafting	[6, 4, 24, 0, 16, 10, 9, 6]	263	360	[16, 12, 1, 2, 14, 25, 28, 16]	[25, 25, 18, 27, 18, 24, 19, 25]	[13, 17, 28, 27, 15, 4, 1, 13]
graining	[6, 4, 24, 10, 9, 10, 9, 6]	262	359	[16, 12, 1, 12, 7, 25, 28, 16]	[25, 25, 18, 8, 11, 24, 19, 25]	[13, 17, 28, 17, 22, 4, 1, 13]
granddad	[6, 4, 24, 9, 23, 23, 24, 23]	518	615	[16, 12, 1, 11, 21, 9, 14, 4]	[25, 25, 18, 7, 25, 8, 5, 13]	[13, 17, 28, 18, 8, 20, 15, 25]
grandeur	[6, 4, 24, 9, 23, 18, 1, 4]	324	421	[16, 12, 1, 11, 21, 4, 20, 14]	[25, 25, 18, 7, 25, 3, 11, 23]	[13, 17, 28, 18, 8, 25, 9, 15]
grandson	[6, 4, 24, 9, 23, 15, 3, 9]	332	429	[16, 12, 1, 11, 21, 1, 22, 19]	[25, 25, 18, 7, 25, 0, 13, 28]	[13, 17, 28, 18, 8, 28, 7, 10]
grapheme	[6, 4, 24, 13, 8, 18, 19, 18]	396	493	[16, 12, 1, 15, 6, 4, 9, 28]	[25, 25, 18, 11, 10, 3, 0, 8]	[13, 17, 28, 14, 23, 25, 20, 1]
graphics	[6, 4, 24, 13, 8, 10, 5, 15]	288	385	[16, 12, 1, 15, 6, 25, 24, 25]	[25, 25, 18, 11, 10, 24, 15, 5]	[13, 17, 28, 14, 23, 4, 5, 4]
graphite	[6, 4, 24, 13, 8, 10, 16, 18]	348	445	[16, 12, 1, 15, 6, 25, 6, 28]	[25, 25, 18, 11, 10, 24, 26, 8]	[13, 17, 28, 14, 23, 4, 23, 1]
grappler	[6, 4, 24, 13, 13, 20, 18, 4]	362	459	[16, 12, 1, 15, 11, 6, 8, 14]	[25, 25, 18, 11, 15, 5, 28, 23]	[13, 17, 28, 14, 18, 23, 21, 15]
grasping	[6, 4, 24, 15, 13, 10, 9, 6]	298	395	[16, 12, 1, 17, 11, 25, 28, 16]	[25, 25, 18, 13, 15, 24, 19, 25]	[13, 17, 28, 12, 18, 4, 1, 13]
gratuity	[6, 4, 24, 16, 1, 10, 16, 26]	380	477	[16, 12, 1, 18, 28, 25, 6, 7]	[25, 25, 18, 14, 3, 24, 26, 16]	[13, 17, 28, 11, 1, 4, 23, 22]
