Word	Indices	GP sum	GP sum red header	Plaintext minus ciphertext	Plaintext plus ciphertext	Ciphertext_minus_plaintext
leasehold	[20, 28, 15, 18, 8, 3, 20, 23]	494	591	[1, 7, 21, 20, 6, 18, 10, 4]	[10, 20, 9, 16, 10, 17, 1, 13]	[28, 22, 8, 9, 23, 11, 19, 25]
leatherleaf	[20, 28, 2, 18, 4, 20, 28, 0]	449	546	[1, 7, 8, 20, 2, 6, 18, 10]	[10, 20, 25, 16, 6, 5, 9, 19]	[28, 22, 21, 9, 27, 23, 11, 19]
leavening	[20, 28, 1, 18, 9, 10, 9, 6]	358	455	[1, 7, 7, 20, 7, 25, 28, 16]	[10, 20, 24, 16, 11, 24, 19, 25]	[28, 22, 22, 9, 22, 4, 1, 13]
lecanora	[20, 18, 5, 24, 9, 3, 4, 24]	394	491	[1, 26, 11, 26, 7, 18, 23, 5]	[10, 10, 28, 22, 11, 17, 14, 14]	[28, 3, 18, 3, 22, 11, 6, 24]
lecturer	[20, 18, 5, 16, 1, 4, 18, 4]	304	401	[1, 26, 11, 18, 28, 19, 8, 14]	[10, 10, 28, 14, 3, 18, 28, 23]	[28, 3, 18, 11, 1, 10, 21, 15]
ledgeman	[20, 18, 23, 6, 18, 19, 24, 9]	510	607	[1, 26, 0, 8, 16, 5, 14, 19]	[10, 10, 17, 4, 20, 4, 5, 28]	[28, 3, 0, 21, 13, 24, 15, 10]
leftover	[20, 18, 0, 16, 3, 1, 18, 4]	289	386	[1, 26, 6, 18, 1, 16, 8, 14]	[10, 10, 23, 14, 5, 15, 28, 23]	[28, 3, 23, 11, 28, 13, 21, 15]
legalese	[20, 18, 6, 24, 20, 18, 15, 18]	514	611	[1, 26, 12, 26, 18, 4, 5, 28]	[10, 10, 0, 22, 22, 3, 25, 8]	[28, 3, 17, 3, 11, 25, 24, 1]
legalism	[20, 18, 6, 24, 20, 10, 15, 19]	482	579	[1, 26, 12, 26, 18, 25, 5, 0]	[10, 10, 0, 22, 22, 24, 25, 9]	[28, 3, 17, 3, 11, 4, 24, 0]
legality	[20, 18, 6, 24, 20, 10, 16, 26]	520	617	[1, 26, 12, 26, 18, 25, 6, 7]	[10, 10, 0, 22, 22, 24, 26, 16]	[28, 3, 17, 3, 11, 4, 23, 22]
legerity	[20, 18, 6, 18, 4, 10, 16, 26]	428	525	[1, 26, 12, 20, 2, 25, 6, 7]	[10, 10, 0, 16, 6, 24, 26, 16]	[28, 3, 17, 9, 27, 4, 23, 22]
legionary	[20, 18, 6, 27, 9, 24, 4, 26]	504	601	[1, 26, 12, 0, 7, 10, 23, 7]	[10, 10, 0, 25, 11, 9, 14, 16]	[28, 3, 17, 0, 22, 19, 6, 22]
leiomyoma	[20, 18, 27, 19, 26, 3, 19, 24]	596	693	[1, 26, 4, 21, 24, 18, 9, 5]	[10, 10, 21, 17, 28, 17, 0, 14]	[28, 3, 25, 8, 5, 11, 20, 24]
lemonade	[20, 18, 19, 3, 9, 24, 23, 18]	500	597	[1, 26, 25, 5, 7, 10, 13, 28]	[10, 10, 13, 1, 11, 9, 4, 8]	[28, 3, 4, 24, 22, 19, 16, 1]
lenience	[20, 18, 9, 10, 18, 9, 5, 18]	376	473	[1, 26, 15, 12, 16, 24, 24, 28]	[10, 10, 3, 8, 20, 23, 15, 8]	[28, 3, 14, 17, 13, 5, 5, 1]
leniency	[20, 18, 9, 10, 18, 9, 5, 26]	412	509	[1, 26, 15, 12, 16, 24, 24, 7]	[10, 10, 3, 8, 20, 23, 15, 16]	[28, 3, 14, 17, 13, 5, 5, 22]
lenitive	[20, 18, 9, 10, 16, 10, 1, 18]	360	457	[1, 26, 15, 12, 14, 25, 20, 28]	[10, 10, 3, 8, 18, 24, 11, 8]	[28, 3, 14, 17, 15, 4, 9, 1]
lenticel	[20, 18, 9, 16, 10, 5, 18, 20]	412	509	[1, 26, 15, 18, 8, 20, 8, 1]	[10, 10, 3, 14, 12, 19, 28, 10]	[28, 3, 14, 11, 21, 9, 21, 28]
leporide	[20, 18, 13, 3, 4, 10, 23, 18]	388	485	[1, 26, 19, 5, 2, 25, 13, 28]	[10, 10, 7, 1, 6, 24, 4, 8]	[28, 3, 10, 24, 27, 4, 16, 1]
lethality	[20, 18, 2, 24, 20, 10, 16, 26]	508	605	[1, 26, 8, 26, 18, 25, 6, 7]	[10, 10, 25, 22, 22, 24, 26, 16]	[28, 3, 21, 3, 11, 4, 23, 22]
letterer	[20, 18, 16, 16, 18, 4, 18, 4]	414	511	[1, 26, 22, 18, 16, 19, 8, 14]	[10, 10, 10, 14, 20, 18, 28, 23]	[28, 3, 7, 11, 13, 10, 21, 15]
leucaemia	[20, 18, 1, 5, 25, 19, 10, 24]	456	553	[1, 26, 7, 7, 23, 5, 0, 5]	[10, 10, 24, 3, 27, 4, 20, 14]	[28, 3, 22, 22, 6, 24, 0, 24]
leucothoe	[20, 18, 1, 5, 3, 2, 3, 18]	242	339	[1, 26, 7, 7, 1, 17, 22, 28]	[10, 10, 24, 3, 5, 16, 13, 8]	[28, 3, 22, 22, 28, 12, 7, 1]
leukaemia	[20, 18, 1, 5, 25, 19, 10, 24]	456	553	[1, 26, 7, 7, 23, 5, 0, 5]	[10, 10, 24, 3, 27, 4, 20, 14]	[28, 3, 22, 22, 6, 24, 0, 24]
leukemia	[20, 18, 1, 5, 18, 19, 10, 24]	422	519	[1, 26, 7, 7, 16, 5, 0, 5]	[10, 10, 24, 3, 20, 4, 20, 14]	[28, 3, 22, 22, 13, 24, 0, 24]
levanter	[20, 18, 1, 24, 9, 16, 18, 4]	406	503	[1, 26, 7, 26, 7, 2, 8, 14]	[10, 10, 24, 22, 11, 1, 28, 23]	[28, 3, 22, 3, 22, 27, 21, 15]
leveling	[20, 18, 1, 18, 20, 10, 9, 6]	360	457	[1, 26, 7, 20, 18, 25, 28, 16]	[10, 10, 24, 16, 22, 24, 19, 25]	[28, 3, 22, 9, 11, 4, 1, 13]
leveller	[20, 18, 1, 18, 20, 20, 18, 4]	434	531	[1, 26, 7, 20, 18, 6, 8, 14]	[10, 10, 24, 16, 22, 5, 28, 23]	[28, 3, 22, 9, 11, 23, 21, 15]
leverage	[20, 18, 1, 18, 4, 24, 6, 18]	402	499	[1, 26, 7, 20, 2, 10, 25, 28]	[10, 10, 24, 16, 6, 9, 16, 8]	[28, 3, 22, 9, 27, 19, 4, 1]
levirate	[20, 18, 1, 10, 4, 24, 16, 18]	408	505	[1, 26, 7, 12, 2, 10, 6, 28]	[10, 10, 24, 8, 6, 9, 26, 8]	[28, 3, 22, 17, 27, 19, 23, 1]
levodopa	[20, 18, 1, 3, 23, 3, 13, 24]	386	483	[1, 26, 7, 5, 21, 18, 3, 5]	[10, 10, 24, 1, 25, 17, 23, 14]	[28, 3, 22, 24, 8, 11, 26, 24]
levulose	[20, 18, 1, 1, 20, 3, 15, 18]	346	443	[1, 26, 7, 3, 18, 18, 5, 28]	[10, 10, 24, 28, 22, 17, 25, 8]	[28, 3, 22, 26, 11, 11, 24, 1]
lewdness	[20, 18, 7, 23, 9, 18, 15, 15]	450	547	[1, 26, 13, 25, 7, 4, 5, 25]	[10, 10, 1, 21, 11, 3, 25, 5]	[28, 3, 16, 4, 22, 25, 24, 4]
liability	[20, 27, 17, 10, 20, 10, 16, 26]	538	635	[1, 6, 23, 12, 18, 25, 6, 7]	[10, 19, 11, 8, 22, 24, 26, 16]	[28, 23, 6, 17, 11, 4, 23, 22]
librarian	[20, 10, 17, 4, 24, 4, 27, 9]	420	517	[1, 18, 23, 6, 22, 19, 17, 19]	[10, 2, 11, 2, 26, 18, 8, 28]	[28, 11, 6, 23, 7, 10, 12, 10]
libration	[20, 10, 17, 4, 24, 16, 27, 9]	468	565	[1, 18, 23, 6, 22, 2, 17, 19]	[10, 2, 11, 2, 26, 1, 8, 28]	[28, 11, 6, 23, 7, 27, 12, 10]
libretto	[20, 10, 17, 4, 18, 16, 16, 3]	368	465	[1, 18, 23, 6, 16, 2, 6, 13]	[10, 2, 11, 2, 20, 1, 26, 22]	[28, 11, 6, 23, 13, 27, 23, 16]
licensee	[20, 10, 5, 18, 9, 15, 18, 18]	400	497	[1, 18, 11, 20, 7, 1, 8, 28]	[10, 2, 28, 16, 11, 0, 28, 8]	[28, 11, 18, 9, 22, 28, 21, 1]
licenser	[20, 10, 5, 18, 9, 15, 18, 4]	344	441	[1, 18, 11, 20, 7, 1, 8, 14]	[10, 2, 28, 16, 11, 0, 28, 23]	[28, 11, 18, 9, 22, 28, 21, 15]
lichgate	[20, 10, 5, 8, 6, 24, 16, 18]	380	477	[1, 18, 11, 10, 4, 10, 6, 28]	[10, 2, 28, 6, 8, 9, 26, 8]	[28, 11, 18, 19, 25, 19, 23, 1]
licorice	[20, 10, 5, 3, 4, 10, 5, 18]	246	343	[1, 18, 11, 5, 2, 25, 24, 28]	[10, 2, 28, 1, 6, 24, 15, 8]	[28, 11, 18, 24, 27, 4, 5, 1]
liegeman	[20, 10, 18, 6, 18, 19, 24, 9]	452	549	[1, 18, 24, 8, 16, 5, 14, 19]	[10, 2, 12, 4, 20, 4, 5, 28]	[28, 11, 5, 21, 13, 24, 15, 10]
lifeboat	[20, 10, 0, 18, 17, 3, 24, 16]	397	494	[1, 18, 6, 20, 15, 18, 14, 26]	[10, 2, 23, 16, 19, 17, 5, 6]	[28, 11, 23, 9, 14, 11, 15, 3]
lifeline	[20, 10, 0, 18, 20, 10, 9, 18]	373	470	[1, 18, 6, 20, 18, 25, 28, 28]	[10, 2, 23, 16, 22, 24, 19, 8]	[28, 11, 23, 9, 11, 4, 1, 1]
lifespan	[20, 10, 0, 18, 15, 13, 24, 9]	395	492	[1, 18, 6, 20, 13, 28, 14, 19]	[10, 2, 23, 16, 17, 27, 5, 28]	[28, 11, 23, 9, 16, 1, 15, 10]
lifetime	[20, 10, 0, 18, 16, 10, 19, 18]	401	498	[1, 18, 6, 20, 14, 25, 9, 28]	[10, 2, 23, 16, 18, 24, 0, 8]	[28, 11, 23, 9, 15, 4, 20, 1]
lifework	[20, 10, 0, 18, 7, 3, 4, 5]	223	320	[1, 18, 6, 20, 5, 18, 23, 15]	[10, 2, 23, 16, 9, 17, 14, 24]	[28, 11, 23, 9, 24, 11, 6, 14]
liftgate	[20, 10, 0, 16, 6, 24, 16, 18]	405	502	[1, 18, 6, 18, 4, 10, 6, 28]	[10, 2, 23, 14, 8, 9, 26, 8]	[28, 11, 23, 11, 25, 19, 23, 1]
ligament	[20, 10, 6, 24, 19, 18, 9, 16]	444	541	[1, 18, 12, 26, 17, 4, 28, 26]	[10, 2, 0, 22, 21, 3, 19, 6]	[28, 11, 17, 3, 12, 25, 1, 3]
ligature	[20, 10, 6, 24, 16, 1, 4, 18]	358	455	[1, 18, 12, 26, 14, 16, 23, 28]	[10, 2, 0, 22, 18, 15, 14, 8]	[28, 11, 17, 3, 15, 13, 6, 1]
lighting	[20, 10, 6, 8, 16, 10, 9, 6]	280	377	[1, 18, 12, 10, 14, 25, 28, 16]	[10, 2, 0, 6, 18, 24, 19, 25]	[28, 11, 17, 19, 15, 4, 1, 13]
lignosae	[20, 10, 6, 9, 3, 15, 24, 18]	374	471	[1, 18, 12, 11, 1, 1, 14, 28]	[10, 2, 0, 7, 5, 0, 5, 8]	[28, 11, 17, 18, 28, 28, 15, 1]
likeness	[20, 10, 5, 18, 9, 18, 15, 15]	386	483	[1, 18, 11, 20, 7, 4, 5, 25]	[10, 2, 28, 16, 11, 3, 25, 5]	[28, 11, 18, 9, 22, 25, 24, 4]
likening	[20, 10, 5, 18, 9, 10, 9, 6]	290	387	[1, 18, 11, 20, 7, 25, 28, 16]	[10, 2, 28, 16, 11, 24, 19, 25]	[28, 11, 18, 9, 22, 4, 1, 13]
lilangeni	[20, 10, 20, 24, 21, 18, 9, 10]	480	577	[1, 18, 26, 26, 19, 4, 28, 20]	[10, 2, 14, 22, 23, 3, 19, 0]	[28, 11, 3, 3, 10, 25, 1, 9]
liliopsid	[20, 10, 20, 27, 13, 15, 10, 23]	500	597	[1, 18, 26, 0, 11, 1, 0, 4]	[10, 2, 14, 25, 15, 0, 20, 13]	[28, 11, 3, 0, 18, 28, 0, 25]
lilyturf	[20, 10, 20, 26, 16, 1, 4, 0]	355	452	[1, 18, 26, 28, 14, 16, 23, 10]	[10, 2, 14, 24, 18, 15, 14, 19]	[28, 11, 3, 1, 15, 13, 6, 19]
limekiln	[20, 10, 19, 18, 5, 10, 20, 9]	388	485	[1, 18, 25, 20, 3, 25, 10, 19]	[10, 2, 13, 16, 7, 24, 1, 28]	[28, 11, 4, 9, 26, 4, 19, 10]
limerick	[20, 10, 19, 18, 4, 10, 5, 5]	310	407	[1, 18, 25, 20, 2, 25, 24, 15]	[10, 2, 13, 16, 6, 24, 15, 24]	[28, 11, 4, 9, 27, 4, 5, 14]
limiting	[20, 10, 19, 10, 16, 10, 9, 6]	342	439	[1, 18, 25, 12, 14, 25, 28, 16]	[10, 2, 13, 8, 18, 24, 19, 25]	[28, 11, 4, 17, 15, 4, 1, 13]
limonene	[20, 10, 19, 3, 9, 18, 9, 18]	374	471	[1, 18, 25, 5, 7, 4, 28, 28]	[10, 2, 13, 1, 11, 3, 19, 8]	[28, 11, 4, 24, 22, 25, 1, 1]
limonite	[20, 10, 19, 3, 9, 10, 16, 18]	368	465	[1, 18, 25, 5, 7, 25, 6, 28]	[10, 2, 13, 1, 11, 24, 26, 8]	[28, 11, 4, 24, 22, 4, 23, 1]
limpness	[20, 10, 19, 13, 9, 18, 15, 15]	420	517	[1, 18, 25, 15, 7, 4, 5, 25]	[10, 2, 13, 11, 11, 3, 25, 5]	[28, 11, 4, 14, 22, 25, 24, 4]
linalool	[20, 10, 9, 24, 20, 3, 3, 20]	390	487	[1, 18, 15, 26, 18, 18, 22, 1]	[10, 2, 3, 22, 22, 17, 13, 10]	[28, 11, 14, 3, 11, 11, 7, 28]
linchpin	[20, 10, 9, 5, 8, 13, 10, 9]	272	369	[1, 18, 15, 7, 6, 28, 0, 19]	[10, 2, 3, 3, 10, 27, 20, 28]	[28, 11, 14, 22, 23, 1, 0, 10]
lineament	[20, 10, 9, 28, 19, 18, 9, 16]	468	565	[1, 18, 15, 1, 17, 4, 28, 26]	[10, 2, 3, 26, 21, 3, 19, 6]	[28, 11, 14, 28, 12, 25, 1, 3]
linearity	[20, 10, 9, 28, 4, 10, 16, 26]	446	543	[1, 18, 15, 1, 2, 25, 6, 7]	[10, 2, 3, 26, 6, 24, 26, 16]	[28, 11, 14, 28, 27, 4, 23, 22]
linesman	[20, 10, 9, 18, 15, 19, 24, 9]	450	547	[1, 18, 15, 20, 13, 5, 14, 19]	[10, 2, 3, 16, 17, 4, 5, 28]	[28, 11, 14, 9, 16, 24, 15, 10]
liniment	[20, 10, 9, 10, 19, 18, 9, 16]	390	487	[1, 18, 15, 12, 17, 4, 28, 26]	[10, 2, 3, 8, 21, 3, 19, 6]	[28, 11, 14, 17, 12, 25, 1, 3]
linksman	[20, 10, 9, 5, 15, 19, 24, 9]	396	493	[1, 18, 15, 7, 13, 5, 14, 19]	[10, 2, 3, 3, 17, 4, 5, 28]	[28, 11, 14, 22, 16, 24, 15, 10]
linoleum	[20, 10, 9, 3, 20, 18, 1, 19]	354	451	[1, 18, 15, 5, 18, 4, 20, 0]	[10, 2, 3, 1, 22, 3, 11, 9]	[28, 11, 14, 24, 11, 25, 9, 0]
linstock	[20, 10, 9, 15, 16, 3, 5, 5]	278	375	[1, 18, 15, 17, 14, 18, 24, 15]	[10, 2, 3, 13, 18, 17, 15, 24]	[28, 11, 14, 12, 15, 11, 5, 14]
lipogram	[20, 10, 13, 3, 6, 4, 24, 19]	350	447	[1, 18, 19, 5, 4, 19, 14, 0]	[10, 2, 7, 1, 8, 18, 5, 9]	[28, 11, 10, 24, 25, 10, 15, 0]
liposome	[20, 10, 13, 3, 15, 3, 19, 18]	352	449	[1, 18, 19, 5, 13, 18, 9, 28]	[10, 2, 7, 1, 17, 17, 0, 8]	[28, 11, 10, 24, 16, 11, 20, 1]
lipstick	[20, 10, 13, 15, 16, 10, 5, 5]	316	413	[1, 18, 19, 17, 14, 25, 24, 15]	[10, 2, 7, 13, 18, 24, 15, 24]	[28, 11, 10, 12, 15, 4, 5, 14]
listener	[20, 10, 15, 16, 18, 9, 18, 4]	390	487	[1, 18, 21, 18, 16, 24, 8, 14]	[10, 2, 9, 14, 20, 23, 28, 23]	[28, 11, 8, 11, 13, 5, 21, 15]
listeria	[20, 10, 15, 16, 18, 4, 10, 24]	422	519	[1, 18, 21, 18, 16, 19, 0, 5]	[10, 2, 9, 14, 20, 18, 20, 14]	[28, 11, 8, 11, 13, 10, 0, 24]
literacy	[20, 10, 16, 18, 4, 24, 5, 26]	454	551	[1, 18, 22, 20, 2, 10, 24, 7]	[10, 2, 10, 16, 6, 9, 15, 16]	[28, 11, 7, 9, 27, 19, 5, 22]
literate	[20, 10, 16, 18, 4, 24, 16, 18]	464	561	[1, 18, 22, 20, 2, 10, 6, 28]	[10, 2, 10, 16, 6, 9, 26, 8]	[28, 11, 7, 9, 27, 19, 23, 1]
literati	[20, 10, 16, 18, 4, 24, 16, 10]	428	525	[1, 18, 22, 20, 2, 10, 6, 20]	[10, 2, 10, 16, 6, 9, 26, 0]	[28, 11, 7, 9, 27, 19, 23, 9]
litheness	[20, 10, 2, 18, 9, 18, 15, 15]	378	475	[1, 18, 8, 20, 7, 4, 5, 25]	[10, 2, 25, 16, 11, 3, 25, 5]	[28, 11, 21, 9, 22, 25, 24, 4]
lithology	[20, 10, 2, 3, 20, 3, 6, 26]	316	413	[1, 18, 8, 5, 18, 18, 25, 7]	[10, 2, 25, 1, 22, 17, 16, 16]	[28, 11, 21, 24, 11, 11, 4, 22]
lithotomy	[20, 10, 2, 3, 16, 3, 19, 26]	356	453	[1, 18, 8, 5, 14, 18, 9, 7]	[10, 2, 25, 1, 18, 17, 0, 16]	[28, 11, 21, 24, 15, 11, 20, 22]
litigant	[20, 10, 16, 10, 6, 24, 9, 16]	396	493	[1, 18, 22, 12, 4, 10, 28, 26]	[10, 2, 10, 8, 8, 9, 19, 6]	[28, 11, 7, 17, 25, 19, 1, 3]
litterer	[20, 10, 16, 16, 18, 4, 18, 4]	378	475	[1, 18, 22, 18, 16, 19, 8, 14]	[10, 2, 10, 14, 20, 18, 28, 23]	[28, 11, 7, 11, 13, 10, 21, 15]
littoral	[20, 10, 16, 16, 3, 4, 24, 20]	410	507	[1, 18, 22, 18, 1, 19, 14, 1]	[10, 2, 10, 14, 5, 18, 5, 10]	[28, 11, 7, 11, 28, 10, 15, 28]
livelong	[20, 10, 1, 18, 20, 3, 9, 6]	300	397	[1, 18, 7, 20, 18, 18, 28, 16]	[10, 2, 24, 16, 22, 17, 19, 25]	[28, 11, 22, 9, 11, 11, 1, 13]
liveness	[20, 10, 1, 18, 9, 18, 15, 15]	376	473	[1, 18, 7, 20, 7, 4, 5, 25]	[10, 2, 24, 16, 11, 3, 25, 5]	[28, 11, 22, 9, 22, 25, 24, 4]
liverleaf	[20, 10, 1, 18, 4, 20, 28, 0]	369	466	[1, 18, 7, 20, 2, 6, 18, 10]	[10, 2, 24, 16, 6, 5, 9, 19]	[28, 11, 22, 9, 27, 23, 11, 19]
lividity	[20, 10, 1, 10, 23, 10, 16, 26]	420	517	[1, 18, 7, 12, 21, 25, 6, 7]	[10, 2, 24, 8, 25, 24, 26, 16]	[28, 11, 22, 17, 8, 4, 23, 22]
loadstar	[20, 3, 24, 23, 15, 16, 24, 4]	486	583	[1, 11, 1, 25, 13, 2, 14, 14]	[10, 24, 18, 21, 17, 1, 5, 23]	[28, 18, 28, 4, 16, 27, 15, 15]
loanword	[20, 3, 24, 9, 7, 3, 4, 23]	332	429	[1, 11, 1, 11, 5, 18, 23, 4]	[10, 24, 18, 7, 9, 17, 14, 13]	[28, 18, 28, 18, 24, 11, 6, 25]
lobbyism	[20, 3, 17, 17, 26, 10, 15, 19]	460	557	[1, 11, 23, 19, 24, 25, 5, 0]	[10, 24, 11, 15, 28, 24, 25, 9]	[28, 18, 6, 10, 5, 4, 24, 0]
lobbyist	[20, 3, 17, 17, 26, 10, 15, 16]	448	545	[1, 11, 23, 19, 24, 25, 5, 26]	[10, 24, 11, 15, 28, 24, 25, 6]	[28, 18, 6, 10, 5, 4, 24, 3]
loblolly	[20, 3, 17, 20, 3, 20, 20, 26]	470	567	[1, 11, 23, 22, 1, 6, 10, 7]	[10, 24, 11, 18, 5, 5, 1, 16]	[28, 18, 6, 7, 28, 23, 19, 22]
lobotomy	[20, 3, 17, 3, 16, 3, 19, 26]	388	485	[1, 11, 23, 5, 14, 18, 9, 7]	[10, 24, 11, 1, 18, 17, 0, 16]	[28, 18, 6, 24, 15, 11, 20, 22]
lobscuse	[20, 3, 17, 15, 5, 1, 15, 18]	330	427	[1, 11, 23, 17, 3, 16, 5, 28]	[10, 24, 11, 13, 7, 15, 25, 8]	[28, 18, 6, 12, 26, 13, 24, 1]
localism	[20, 3, 5, 24, 20, 10, 15, 19]	418	515	[1, 11, 11, 26, 18, 25, 5, 0]	[10, 24, 28, 22, 22, 24, 25, 9]	[28, 18, 18, 3, 11, 4, 24, 0]
locality	[20, 3, 5, 24, 20, 10, 16, 26]	456	553	[1, 11, 11, 26, 18, 25, 6, 7]	[10, 24, 28, 22, 22, 24, 26, 16]	[28, 18, 18, 3, 11, 4, 23, 22]
locating	[20, 3, 5, 24, 16, 10, 9, 6]	326	423	[1, 11, 11, 26, 14, 25, 28, 16]	[10, 24, 28, 22, 18, 24, 19, 25]	[28, 18, 18, 3, 15, 4, 1, 13]
locative	[20, 3, 5, 24, 16, 10, 1, 18]	350	447	[1, 11, 11, 26, 14, 25, 20, 28]	[10, 24, 28, 22, 18, 24, 11, 8]	[28, 18, 18, 3, 15, 4, 9, 1]
lockdown	[20, 3, 5, 5, 23, 3, 7, 9]	250	347	[1, 11, 11, 7, 21, 18, 26, 19]	[10, 24, 28, 3, 25, 17, 17, 28]	[28, 18, 18, 22, 8, 11, 3, 10]
lockring	[20, 3, 5, 5, 4, 10, 9, 6]	194	291	[1, 11, 11, 7, 2, 25, 28, 16]	[10, 24, 28, 3, 6, 24, 19, 25]	[28, 18, 18, 22, 27, 4, 1, 13]
lockstep	[20, 3, 5, 5, 15, 16, 18, 13]	328	425	[1, 11, 11, 7, 13, 2, 8, 23]	[10, 24, 28, 3, 17, 1, 28, 3]	[28, 18, 18, 22, 16, 27, 21, 6]
locoweed	[20, 3, 5, 3, 7, 18, 18, 23]	342	439	[1, 11, 11, 5, 5, 4, 8, 4]	[10, 24, 28, 1, 9, 3, 28, 13]	[28, 18, 18, 24, 24, 25, 21, 25]
lodestar	[20, 3, 23, 18, 15, 16, 24, 4]	456	553	[1, 11, 0, 20, 13, 2, 14, 14]	[10, 24, 17, 16, 17, 1, 5, 23]	[28, 18, 0, 9, 16, 27, 15, 15]
lodgment	[20, 3, 23, 6, 19, 18, 9, 16]	412	509	[1, 11, 0, 8, 17, 4, 28, 26]	[10, 24, 17, 4, 21, 3, 19, 6]	[28, 18, 0, 21, 12, 25, 1, 3]
logarithm	[20, 3, 6, 24, 4, 10, 2, 19]	312	409	[1, 11, 12, 26, 2, 25, 21, 0]	[10, 24, 0, 22, 6, 24, 12, 9]	[28, 18, 17, 3, 27, 4, 8, 0]
logicism	[20, 3, 6, 10, 5, 10, 15, 19]	296	393	[1, 11, 12, 12, 3, 25, 5, 0]	[10, 24, 0, 8, 7, 24, 25, 9]	[28, 18, 17, 17, 26, 4, 24, 0]
loginess	[20, 3, 6, 10, 9, 18, 15, 15]	330	427	[1, 11, 12, 12, 7, 4, 5, 25]	[10, 24, 0, 8, 11, 3, 25, 5]	[28, 18, 17, 17, 22, 25, 24, 4]
logogram	[20, 3, 6, 3, 6, 4, 24, 19]	300	397	[1, 11, 12, 5, 4, 19, 14, 0]	[10, 24, 0, 1, 8, 18, 5, 9]	[28, 18, 17, 24, 25, 10, 15, 0]
logomach	[20, 3, 6, 3, 19, 24, 5, 8]	308	405	[1, 11, 12, 5, 17, 10, 24, 18]	[10, 24, 0, 1, 21, 9, 15, 27]	[28, 18, 17, 24, 12, 19, 5, 11]
logotype	[20, 3, 6, 3, 16, 26, 13, 18]	376	473	[1, 11, 12, 5, 14, 12, 3, 28]	[10, 24, 0, 1, 18, 11, 23, 8]	[28, 18, 17, 24, 15, 17, 26, 1]
loiterer	[20, 3, 10, 16, 18, 4, 18, 4]	326	423	[1, 11, 16, 18, 16, 19, 8, 14]	[10, 24, 4, 14, 20, 18, 28, 23]	[28, 18, 13, 11, 13, 10, 21, 15]
lollipop	[20, 3, 20, 20, 10, 13, 3, 13]	350	447	[1, 11, 26, 22, 8, 28, 22, 23]	[10, 24, 14, 18, 12, 27, 13, 3]	[28, 18, 3, 7, 21, 1, 7, 6]
longevity	[20, 3, 21, 18, 1, 10, 16, 26]	422	519	[1, 11, 27, 20, 28, 25, 6, 7]	[10, 24, 15, 16, 3, 24, 26, 16]	[28, 18, 2, 9, 1, 4, 23, 22]
longicorn	[20, 3, 21, 10, 5, 3, 4, 9]	250	347	[1, 11, 27, 12, 3, 18, 23, 19]	[10, 24, 15, 8, 7, 17, 14, 28]	[28, 18, 2, 17, 26, 11, 6, 10]
longitude	[20, 3, 21, 10, 16, 1, 23, 18]	408	505	[1, 11, 27, 12, 14, 16, 13, 28]	[10, 24, 15, 8, 18, 15, 4, 8]	[28, 18, 2, 17, 15, 13, 16, 1]
lookdown	[20, 3, 3, 5, 23, 3, 7, 9]	244	341	[1, 11, 9, 7, 21, 18, 26, 19]	[10, 24, 26, 3, 25, 17, 17, 28]	[28, 18, 20, 22, 8, 11, 3, 10]
loophole	[20, 3, 3, 13, 8, 3, 20, 18]	300	397	[1, 11, 9, 15, 6, 18, 10, 28]	[10, 24, 26, 11, 10, 17, 1, 8]	[28, 18, 20, 14, 23, 11, 19, 1]
lordosis	[20, 3, 4, 23, 3, 15, 10, 15]	324	421	[1, 11, 10, 25, 1, 1, 0, 25]	[10, 24, 27, 21, 5, 0, 20, 5]	[28, 18, 19, 4, 28, 28, 0, 4]
lordship	[20, 3, 4, 23, 15, 8, 10, 13]	330	427	[1, 11, 10, 25, 13, 23, 0, 23]	[10, 24, 27, 21, 17, 22, 20, 3]	[28, 18, 19, 4, 16, 6, 0, 6]
lorikeet	[20, 3, 4, 10, 5, 18, 18, 16]	328	425	[1, 11, 10, 12, 3, 4, 8, 26]	[10, 24, 27, 8, 7, 3, 28, 6]	[28, 18, 19, 17, 26, 25, 21, 3]
loudness	[20, 3, 1, 23, 9, 18, 15, 15]	374	471	[1, 11, 7, 25, 7, 4, 5, 25]	[10, 24, 24, 21, 11, 3, 25, 5]	[28, 18, 22, 4, 22, 25, 24, 4]
loungewear	[20, 3, 1, 21, 18, 7, 28, 4]	368	465	[1, 11, 7, 23, 16, 22, 18, 14]	[10, 24, 24, 19, 20, 21, 9, 23]	[28, 18, 22, 6, 13, 7, 11, 15]
lovebird	[20, 3, 1, 18, 17, 10, 4, 23]	342	439	[1, 11, 7, 20, 15, 25, 23, 4]	[10, 24, 24, 16, 19, 24, 14, 13]	[28, 18, 22, 9, 14, 4, 6, 25]
lovingness	[20, 3, 1, 21, 9, 18, 15, 15]	364	461	[1, 11, 7, 23, 7, 4, 5, 25]	[10, 24, 24, 19, 11, 3, 25, 5]	[28, 18, 22, 6, 22, 25, 24, 4]
lowering	[20, 3, 7, 18, 4, 10, 9, 6]	254	351	[1, 11, 13, 20, 2, 25, 28, 16]	[10, 24, 1, 16, 6, 24, 19, 25]	[28, 18, 16, 9, 27, 4, 1, 13]
