Word;Indices;GP sum;GP sum red header;Plaintext minus ciphertext;Plaintext plus ciphertext;Ciphertext_minus_plaintext
Beerbohm;[17, 18, 18, 4, 17, 3, 8, 19];368;465;[27, 26, 24, 6, 15, 18, 27, 0];[7, 10, 12, 2, 19, 17, 18, 9];[2, 3, 5, 23, 14, 11, 2, 0]
Beethoven;[17, 18, 18, 2, 3, 1, 18, 9];306;403;[27, 26, 24, 4, 1, 16, 8, 19];[7, 10, 12, 0, 5, 15, 28, 28];[2, 3, 5, 25, 28, 13, 21, 10]
Belgique;[17, 18, 20, 6, 10, 5, 7, 18];348;445;[27, 26, 26, 8, 8, 20, 26, 28];[7, 10, 14, 4, 12, 19, 17, 8];[2, 3, 3, 21, 21, 9, 3, 1]
Belgrade;[17, 18, 20, 6, 4, 24, 23, 18];482;579;[27, 26, 26, 8, 2, 10, 13, 28];[7, 10, 14, 4, 6, 9, 4, 8];[2, 3, 3, 21, 27, 19, 16, 1]
Bellingham;[17, 18, 20, 20, 21, 8, 24, 19];544;641;[27, 26, 26, 22, 19, 23, 14, 0];[7, 10, 14, 18, 23, 22, 5, 9];[2, 3, 3, 7, 10, 6, 15, 0]
Benadryl;[17, 18, 9, 24, 23, 4, 26, 20];530;627;[27, 26, 15, 26, 21, 19, 16, 1];[7, 10, 3, 22, 25, 18, 7, 10];[2, 3, 14, 3, 8, 10, 13, 28]
Benchley;[17, 18, 9, 5, 8, 20, 18, 26];436;533;[27, 26, 15, 7, 6, 6, 8, 7];[7, 10, 3, 3, 10, 5, 28, 16];[2, 3, 14, 22, 23, 23, 21, 22]
Benedict;[17, 18, 9, 18, 23, 10, 5, 16];416;513;[27, 26, 15, 20, 21, 25, 24, 26];[7, 10, 3, 16, 25, 24, 15, 6];[2, 3, 14, 9, 8, 4, 5, 3]
Beninese;[17, 18, 9, 10, 9, 18, 15, 18];404;501;[27, 26, 15, 12, 7, 4, 5, 28];[7, 10, 3, 8, 11, 3, 25, 8];[2, 3, 14, 17, 22, 25, 24, 1]
Benjamin;[17, 18, 9, 11, 24, 19, 10, 9];422;519;[27, 26, 15, 13, 22, 5, 0, 19];[7, 10, 3, 9, 26, 4, 20, 28];[2, 3, 14, 16, 7, 24, 0, 10]
Bennington;[17, 18, 9, 9, 21, 16, 3, 9];360;457;[27, 26, 15, 11, 19, 2, 22, 19];[7, 10, 3, 7, 23, 1, 13, 28];[2, 3, 14, 18, 10, 27, 7, 10]
Berberis;[17, 18, 4, 17, 18, 4, 10, 15];362;459;[27, 26, 10, 19, 16, 19, 0, 25];[7, 10, 27, 15, 20, 18, 20, 5];[2, 3, 19, 10, 13, 10, 0, 4]
