Word;Indices;GP sum;GP sum red header;Plaintext minus ciphertext;Plaintext plus ciphertext;Ciphertext_minus_plaintext
Rockingham;[4, 3, 5, 5, 21, 8, 24, 19];314;411;[14, 11, 11, 7, 19, 23, 14, 0];[23, 24, 28, 3, 23, 22, 5, 9];[15, 18, 18, 22, 10, 6, 15, 0]
Rockwell;[4, 3, 5, 5, 7, 18, 20, 20];276;373;[14, 11, 11, 7, 5, 4, 10, 1];[23, 24, 28, 3, 9, 3, 1, 10];[15, 18, 18, 22, 24, 25, 19, 28]
Rodentia;[4, 3, 23, 18, 9, 16, 10, 24];390;487;[14, 11, 0, 20, 7, 2, 0, 5];[23, 24, 17, 16, 11, 1, 20, 14];[15, 18, 0, 9, 22, 27, 0, 24]
Rohypnol;[4, 3, 8, 26, 13, 9, 3, 20];296;393;[14, 11, 14, 28, 11, 24, 22, 1];[23, 24, 2, 24, 15, 23, 13, 10];[15, 18, 15, 1, 18, 5, 7, 28]
Romanism;[4, 3, 19, 24, 9, 10, 15, 19];370;467;[14, 11, 25, 26, 7, 25, 5, 0];[23, 24, 13, 22, 11, 24, 25, 9];[15, 18, 4, 3, 22, 4, 24, 0]
Romanoff;[4, 3, 19, 24, 9, 3, 0, 0];226;323;[14, 11, 25, 26, 7, 18, 19, 10];[23, 24, 13, 22, 11, 17, 10, 19];[15, 18, 4, 3, 22, 11, 10, 19]
Rossbach;[4, 3, 15, 15, 17, 24, 5, 8];318;415;[14, 11, 21, 17, 15, 10, 24, 18];[23, 24, 9, 13, 19, 9, 15, 27];[15, 18, 8, 12, 14, 19, 5, 11]
Rossetti;[4, 3, 15, 15, 18, 16, 16, 10];340;437;[14, 11, 21, 17, 16, 2, 6, 20];[23, 24, 9, 13, 20, 1, 26, 0];[15, 18, 8, 12, 13, 27, 23, 9]
Rotifera;[4, 3, 16, 10, 0, 18, 4, 24];285;382;[14, 11, 22, 12, 27, 4, 23, 5];[23, 24, 10, 8, 2, 3, 14, 14];[15, 18, 7, 17, 2, 25, 6, 24]
Roumania;[4, 3, 1, 19, 24, 9, 10, 24];346;443;[14, 11, 7, 21, 22, 24, 0, 5];[23, 24, 24, 17, 26, 23, 20, 14];[15, 18, 22, 8, 7, 5, 0, 24]
Roundhead;[4, 3, 1, 9, 23, 8, 28, 23];360;457;[14, 11, 7, 11, 21, 23, 18, 4];[23, 24, 24, 7, 25, 22, 9, 13];[15, 18, 22, 18, 8, 6, 11, 25]
Royalist;[4, 3, 26, 24, 20, 10, 15, 16];434;531;[14, 11, 3, 26, 18, 25, 5, 26];[23, 24, 20, 22, 22, 24, 25, 6];[15, 18, 26, 3, 11, 4, 24, 3]
Rupicola;[4, 1, 13, 10, 5, 3, 20, 24];278;375;[14, 9, 19, 12, 3, 18, 10, 5];[23, 22, 7, 8, 7, 17, 1, 14];[15, 20, 10, 17, 26, 11, 19, 24]
Ruscaceae;[4, 1, 15, 5, 24, 5, 28, 18];366;463;[14, 9, 21, 7, 22, 20, 18, 28];[23, 22, 9, 3, 26, 19, 9, 8];[15, 20, 8, 22, 7, 9, 11, 1]
Rushmore;[4, 1, 15, 8, 19, 3, 4, 18];246;343;[14, 9, 21, 10, 17, 18, 23, 28];[23, 22, 9, 6, 21, 17, 14, 8];[15, 20, 8, 19, 12, 11, 6, 1]
Rustbelt;[4, 1, 15, 16, 17, 18, 20, 16];386;483;[14, 9, 21, 18, 15, 4, 10, 26];[23, 22, 9, 14, 19, 3, 1, 6];[15, 20, 8, 11, 14, 25, 19, 3]
Rutledge;[4, 1, 16, 20, 18, 23, 6, 18];386;483;[14, 9, 22, 22, 16, 9, 25, 28];[23, 22, 10, 18, 20, 8, 16, 8];[15, 20, 7, 7, 13, 20, 4, 1]
Rynchops;[4, 26, 9, 5, 8, 3, 13, 15];282;379;[14, 5, 15, 7, 6, 18, 3, 25];[23, 18, 3, 3, 10, 17, 23, 5];[15, 24, 14, 22, 23, 11, 26, 4]
Rypticus;[4, 26, 13, 16, 10, 5, 1, 15];316;413;[14, 5, 19, 18, 8, 20, 20, 25];[23, 18, 7, 14, 12, 19, 11, 5];[15, 24, 10, 11, 21, 9, 9, 4]
Ryukyuan;[4, 26, 1, 5, 26, 1, 24, 9];362;459;[14, 5, 7, 7, 24, 16, 14, 19];[23, 18, 24, 3, 28, 15, 5, 28];[15, 24, 22, 22, 5, 13, 15, 10]
Saarinen;[15, 24, 24, 4, 10, 9, 18, 9];414;511;[25, 3, 1, 6, 8, 24, 8, 19];[5, 16, 18, 2, 12, 23, 28, 28];[4, 26, 28, 23, 21, 5, 21, 10]
Sabbatum;[15, 24, 17, 17, 24, 16, 1, 19];502;599;[25, 3, 23, 19, 22, 2, 20, 0];[5, 16, 11, 15, 26, 1, 11, 9];[4, 26, 6, 10, 7, 27, 9, 0]
Sabellian;[15, 24, 17, 18, 20, 20, 27, 9];560;657;[25, 3, 23, 20, 18, 6, 17, 19];[5, 16, 11, 16, 22, 5, 8, 28];[4, 26, 6, 9, 11, 23, 12, 10]
Sadducee;[15, 24, 23, 23, 1, 5, 18, 18];478;575;[25, 3, 0, 25, 28, 20, 8, 28];[5, 16, 17, 21, 3, 19, 28, 8];[4, 26, 0, 4, 1, 9, 21, 1]
Sadleria;[15, 24, 23, 20, 18, 4, 10, 24];518;615;[25, 3, 0, 22, 16, 19, 0, 5];[5, 16, 17, 18, 20, 18, 20, 14];[4, 26, 0, 7, 13, 10, 0, 24]
Sahaptin;[15, 24, 8, 24, 13, 16, 10, 9];432;529;[25, 3, 14, 26, 11, 2, 0, 19];[5, 16, 2, 22, 15, 1, 20, 28];[4, 26, 15, 3, 18, 27, 0, 10]
Sakharov;[15, 24, 5, 8, 24, 4, 3, 1];304;401;[25, 3, 11, 10, 22, 19, 22, 11];[5, 16, 28, 6, 26, 18, 13, 20];[4, 26, 18, 19, 7, 10, 7, 18]
Salafism;[15, 24, 20, 24, 0, 10, 15, 19];477;574;[25, 3, 26, 26, 27, 25, 5, 0];[5, 16, 14, 22, 2, 24, 25, 9];[4, 26, 3, 3, 2, 4, 24, 0]
Salishan;[15, 24, 20, 10, 15, 8, 24, 9];456;553;[25, 3, 26, 12, 13, 23, 14, 19];[5, 16, 14, 8, 17, 22, 5, 28];[4, 26, 3, 17, 16, 6, 15, 10]
Salmacis;[15, 24, 20, 19, 24, 5, 10, 15];488;585;[25, 3, 26, 21, 22, 20, 0, 25];[5, 16, 14, 17, 26, 19, 20, 5];[4, 26, 3, 8, 7, 9, 0, 4]
Salonica;[15, 24, 20, 3, 9, 10, 5, 24];400;497;[25, 3, 26, 5, 7, 25, 24, 5];[5, 16, 14, 1, 11, 24, 15, 14];[4, 26, 3, 24, 22, 4, 5, 24]
Salonika;[15, 24, 20, 3, 9, 10, 5, 24];400;497;[25, 3, 26, 5, 7, 25, 24, 5];[5, 16, 14, 1, 11, 24, 15, 14];[4, 26, 3, 24, 22, 4, 5, 24]
Salpidae;[15, 24, 20, 13, 10, 23, 24, 18];550;647;[25, 3, 26, 15, 8, 9, 14, 28];[5, 16, 14, 11, 12, 8, 5, 8];[4, 26, 3, 14, 21, 20, 15, 1]
Salvador;[15, 24, 20, 1, 24, 23, 3, 4];430;527;[25, 3, 26, 3, 22, 9, 22, 14];[5, 16, 14, 28, 26, 8, 13, 23];[4, 26, 3, 26, 7, 20, 7, 15]
Salvinia;[15, 24, 20, 1, 10, 9, 10, 24];414;511;[25, 3, 26, 3, 8, 24, 0, 5];[5, 16, 14, 28, 12, 23, 20, 14];[4, 26, 3, 26, 21, 5, 0, 24]
Salzburg;[15, 24, 20, 15, 17, 1, 4, 6];368;465;[25, 3, 26, 17, 15, 16, 23, 16];[5, 16, 14, 13, 19, 15, 14, 25];[4, 26, 3, 12, 14, 13, 6, 13]
Samanala;[15, 24, 19, 24, 9, 24, 20, 24];614;711;[25, 3, 25, 26, 7, 10, 10, 5];[5, 16, 13, 22, 11, 9, 1, 14];[4, 26, 4, 3, 22, 19, 19, 24]
Samarang;[15, 24, 19, 24, 4, 24, 9, 6];472;569;[25, 3, 25, 26, 2, 10, 28, 16];[5, 16, 13, 22, 6, 9, 19, 25];[4, 26, 4, 3, 27, 19, 1, 13]
Samaveda;[15, 24, 19, 24, 1, 18, 23, 24];574;671;[25, 3, 25, 26, 28, 4, 13, 5];[5, 16, 13, 22, 3, 3, 4, 14];[4, 26, 4, 3, 1, 25, 16, 24]
Sambucus;[15, 24, 19, 17, 1, 5, 1, 15];354;451;[25, 3, 25, 19, 28, 20, 20, 25];[5, 16, 13, 15, 3, 19, 11, 5];[4, 26, 4, 10, 1, 9, 9, 4]
Samoyede;[15, 24, 19, 3, 26, 18, 23, 18];554;651;[25, 3, 25, 5, 24, 4, 13, 28];[5, 16, 13, 1, 28, 3, 4, 8];[4, 26, 4, 24, 5, 25, 16, 1]
Sandburg;[15, 24, 9, 23, 17, 1, 4, 6];360;457;[25, 3, 15, 25, 15, 16, 23, 16];[5, 16, 3, 21, 19, 15, 14, 25];[4, 26, 14, 4, 14, 13, 6, 13]
Sanicula;[15, 24, 9, 10, 5, 1, 20, 24];396;493;[25, 3, 15, 12, 3, 16, 10, 5];[5, 16, 3, 8, 7, 15, 1, 14];[4, 26, 14, 17, 26, 13, 19, 24]
Sanskrit;[15, 24, 9, 15, 5, 4, 10, 16];346;443;[25, 3, 15, 17, 3, 19, 0, 26];[5, 16, 3, 13, 7, 18, 20, 6];[4, 26, 14, 12, 26, 10, 0, 3]
Santalum;[15, 24, 9, 16, 24, 20, 1, 19];482;579;[25, 3, 15, 18, 22, 6, 20, 0];[5, 16, 3, 14, 26, 5, 11, 9];[4, 26, 14, 11, 7, 23, 9, 0]
Sapindus;[15, 24, 13, 10, 9, 23, 1, 15];398;495;[25, 3, 19, 12, 7, 9, 20, 25];[5, 16, 7, 8, 11, 8, 11, 5];[4, 26, 10, 17, 22, 20, 9, 4]
Saqqarah;[15, 24, 5, 5, 24, 4, 24, 8];404;501;[25, 3, 11, 7, 22, 19, 14, 18];[5, 16, 28, 3, 26, 18, 5, 27];[4, 26, 18, 22, 7, 10, 15, 11]
Sarajevo;[15, 24, 4, 24, 11, 18, 1, 3];372;469;[25, 3, 10, 26, 9, 4, 20, 13];[5, 16, 27, 22, 13, 3, 11, 22];[4, 26, 19, 3, 20, 25, 9, 16]
Sarasota;[15, 24, 4, 24, 15, 3, 16, 24];474;571;[25, 3, 10, 26, 13, 18, 6, 5];[5, 16, 27, 22, 17, 17, 26, 14];[4, 26, 19, 3, 16, 11, 23, 24]
Saratoga;[15, 24, 4, 24, 16, 3, 6, 24];438;535;[25, 3, 10, 26, 14, 18, 25, 5];[5, 16, 27, 22, 18, 17, 16, 14];[4, 26, 19, 3, 15, 11, 4, 24]
Sarcodes;[15, 24, 4, 5, 3, 23, 18, 15];390;487;[25, 3, 10, 7, 1, 9, 8, 25];[5, 16, 27, 3, 5, 8, 28, 5];[4, 26, 19, 22, 28, 20, 21, 4]
Sardegna;[15, 24, 4, 23, 18, 6, 9, 24];460;557;[25, 3, 10, 25, 16, 21, 28, 5];[5, 16, 27, 21, 20, 20, 19, 14];[4, 26, 19, 4, 13, 8, 1, 24]
Sardinia;[15, 24, 4, 23, 10, 9, 10, 24];438;535;[25, 3, 10, 25, 8, 24, 0, 5];[5, 16, 27, 21, 12, 23, 20, 14];[4, 26, 19, 4, 21, 5, 0, 24]
Sardinian;[15, 24, 4, 23, 10, 9, 27, 9];446;543;[25, 3, 10, 25, 8, 24, 17, 19];[5, 16, 27, 21, 12, 23, 8, 28];[4, 26, 19, 4, 21, 5, 12, 10]
Sarpedon;[15, 24, 4, 13, 18, 23, 3, 9];396;493;[25, 3, 10, 15, 16, 9, 22, 19];[5, 16, 27, 11, 20, 8, 13, 28];[4, 26, 19, 14, 13, 20, 7, 10]
Satanism;[15, 24, 16, 24, 9, 10, 15, 19];490;587;[25, 3, 22, 26, 7, 25, 5, 0];[5, 16, 10, 22, 11, 24, 25, 9];[4, 26, 7, 3, 22, 4, 24, 0]
Satanist;[15, 24, 16, 24, 9, 10, 15, 16];478;575;[25, 3, 22, 26, 7, 25, 5, 26];[5, 16, 10, 22, 11, 24, 25, 6];[4, 26, 7, 3, 22, 4, 24, 3]
Saturday;[15, 24, 16, 1, 4, 23, 24, 26];512;609;[25, 3, 22, 3, 2, 9, 14, 7];[5, 16, 10, 28, 6, 8, 5, 16];[4, 26, 7, 26, 27, 20, 15, 22]
Satureia;[15, 24, 16, 1, 4, 18, 10, 24];418;515;[25, 3, 22, 3, 2, 4, 0, 5];[5, 16, 10, 28, 6, 3, 20, 14];[4, 26, 7, 26, 27, 25, 0, 24]
Satureja;[15, 24, 16, 1, 4, 18, 11, 24];424;521;[25, 3, 22, 3, 2, 4, 1, 5];[5, 16, 10, 28, 6, 3, 21, 14];[4, 26, 7, 26, 27, 25, 28, 24]
Saturnia;[15, 24, 16, 1, 4, 9, 10, 24];380;477;[25, 3, 22, 3, 2, 24, 0, 5];[5, 16, 10, 28, 6, 23, 20, 14];[4, 26, 7, 26, 27, 5, 0, 24]
Saururus;[15, 24, 1, 4, 1, 4, 1, 15];234;331;[25, 3, 7, 6, 28, 19, 20, 25];[5, 16, 24, 2, 3, 18, 11, 5];[4, 26, 22, 23, 1, 10, 9, 4]
Saussure;[15, 24, 1, 15, 15, 1, 4, 18];340;437;[25, 3, 7, 17, 13, 16, 23, 28];[5, 16, 24, 13, 17, 15, 14, 8];[4, 26, 22, 12, 16, 13, 6, 1]
Sauterne;[15, 24, 1, 16, 18, 4, 9, 18];386;483;[25, 3, 7, 18, 16, 19, 28, 28];[5, 16, 24, 14, 20, 18, 19, 8];[4, 26, 22, 11, 13, 10, 1, 1]
Savannah;[15, 24, 1, 24, 9, 9, 24, 8];428;525;[25, 3, 7, 26, 7, 24, 14, 18];[5, 16, 24, 22, 11, 23, 5, 27];[4, 26, 22, 3, 22, 5, 15, 11]
Savoyard;[15, 24, 1, 3, 26, 24, 4, 23];460;557;[25, 3, 7, 5, 24, 10, 23, 4];[5, 16, 24, 1, 28, 9, 14, 13];[4, 26, 22, 24, 5, 19, 6, 25]
Saxicola;[15, 24, 14, 10, 5, 3, 20, 24];418;515;[25, 3, 20, 12, 3, 18, 10, 5];[5, 16, 8, 8, 7, 17, 1, 14];[4, 26, 9, 17, 26, 11, 19, 24]
Sayornis;[15, 24, 26, 3, 4, 9, 10, 15];384;481;[25, 3, 3, 5, 2, 24, 0, 25];[5, 16, 20, 1, 6, 23, 20, 5];[4, 26, 26, 24, 27, 5, 0, 4]
Scarface;[15, 5, 24, 4, 0, 24, 5, 18];353;450;[25, 13, 1, 6, 27, 10, 24, 28];[5, 26, 18, 2, 2, 9, 15, 8];[4, 16, 28, 23, 2, 19, 5, 1]
Scaridae;[15, 5, 24, 4, 10, 23, 24, 18];458;555;[25, 13, 1, 6, 8, 9, 14, 28];[5, 26, 18, 2, 12, 8, 5, 8];[4, 16, 28, 23, 21, 20, 15, 1]
Schiller;[15, 5, 8, 10, 20, 20, 18, 4];344;441;[25, 13, 14, 12, 18, 6, 8, 14];[5, 26, 2, 8, 22, 5, 28, 23];[4, 16, 15, 17, 11, 23, 21, 15]
Schnabel;[15, 5, 8, 9, 24, 17, 18, 20];416;513;[25, 13, 14, 11, 22, 3, 8, 1];[5, 26, 2, 7, 26, 2, 28, 10];[4, 16, 15, 18, 7, 26, 21, 28]
Schubert;[15, 5, 8, 1, 17, 18, 4, 16];290;387;[25, 13, 14, 3, 15, 4, 23, 26];[5, 26, 2, 28, 19, 3, 14, 6];[4, 16, 15, 26, 14, 25, 6, 3]
Schumann;[15, 5, 8, 1, 19, 24, 9, 9];318;415;[25, 13, 14, 3, 17, 10, 28, 19];[5, 26, 2, 28, 21, 9, 19, 28];[4, 16, 15, 26, 12, 19, 1, 10]
Sciaenops;[15, 5, 27, 18, 9, 3, 13, 15];372;469;[25, 13, 4, 20, 7, 18, 3, 25];[5, 26, 21, 16, 11, 17, 23, 5];[4, 16, 25, 9, 22, 11, 26, 4]
Sciaridae;[15, 5, 27, 4, 10, 23, 24, 18];468;565;[25, 13, 4, 6, 8, 9, 14, 28];[5, 26, 21, 2, 12, 8, 5, 8];[4, 16, 25, 23, 21, 20, 15, 1]
Scolopax;[15, 5, 3, 20, 3, 13, 24, 14];340;437;[25, 13, 9, 22, 1, 28, 14, 24];[5, 26, 26, 18, 5, 27, 5, 4];[4, 16, 20, 7, 28, 1, 15, 5]
Scolymus;[15, 5, 3, 20, 26, 19, 1, 15];376;473;[25, 13, 9, 22, 24, 5, 20, 25];[5, 26, 26, 18, 28, 4, 11, 5];[4, 16, 20, 7, 5, 24, 9, 4]
Scolytus;[15, 5, 3, 20, 26, 16, 1, 15];364;461;[25, 13, 9, 22, 24, 2, 20, 25];[5, 26, 26, 18, 28, 1, 11, 5];[4, 16, 20, 7, 5, 27, 9, 4]
Scopolia;[15, 5, 3, 13, 3, 20, 10, 24];324;421;[25, 13, 9, 15, 1, 6, 0, 5];[5, 26, 26, 11, 5, 5, 20, 14];[4, 16, 20, 14, 28, 23, 0, 24]
Scorpaena;[15, 5, 3, 4, 13, 25, 9, 24];354;451;[25, 13, 9, 6, 11, 11, 28, 5];[5, 26, 26, 2, 15, 10, 19, 14];[4, 16, 20, 23, 18, 18, 1, 24]
Scorpius;[15, 5, 3, 4, 13, 10, 1, 15];214;311;[25, 13, 9, 6, 11, 25, 20, 25];[5, 26, 26, 2, 15, 24, 11, 5];[4, 16, 20, 23, 18, 4, 9, 4]
Scorsese;[15, 5, 3, 4, 15, 18, 15, 18];324;421;[25, 13, 9, 6, 13, 4, 5, 28];[5, 26, 26, 2, 17, 3, 25, 8];[4, 16, 20, 23, 16, 25, 24, 1]
Scotland;[15, 5, 3, 16, 20, 24, 9, 23];420;517;[25, 13, 9, 18, 18, 10, 28, 4];[5, 26, 26, 14, 22, 9, 19, 13];[4, 16, 20, 11, 11, 19, 1, 25]
Scotsman;[15, 5, 3, 16, 15, 19, 24, 9];382;479;[25, 13, 9, 18, 13, 5, 14, 19];[5, 26, 26, 14, 17, 4, 5, 28];[4, 16, 20, 11, 16, 24, 15, 10]
Scottish;[15, 5, 3, 16, 16, 10, 15, 8];298;395;[25, 13, 9, 18, 14, 25, 5, 18];[5, 26, 26, 14, 18, 24, 25, 27];[4, 16, 20, 11, 15, 4, 24, 11]
Scrabble;[15, 5, 4, 24, 17, 17, 20, 18];436;533;[25, 13, 10, 26, 15, 3, 10, 28];[5, 26, 27, 22, 19, 2, 1, 8];[4, 16, 19, 3, 14, 26, 19, 1]
Scranton;[15, 5, 4, 24, 9, 16, 3, 9];298;395;[25, 13, 10, 26, 7, 2, 22, 19];[5, 26, 27, 22, 11, 1, 13, 28];[4, 16, 19, 3, 22, 27, 7, 10]
Sculptor;[15, 5, 1, 20, 13, 16, 3, 4];262;359;[25, 13, 7, 22, 11, 2, 22, 14];[5, 26, 24, 18, 15, 1, 13, 23];[4, 16, 22, 7, 18, 27, 7, 15]
Sebastes;[15, 18, 17, 24, 15, 16, 18, 15];510;607;[25, 26, 23, 26, 13, 2, 8, 25];[5, 10, 11, 22, 17, 1, 28, 5];[4, 3, 6, 3, 16, 27, 21, 4]
Secession;[15, 18, 5, 18, 15, 15, 27, 9];442;539;[25, 26, 11, 20, 13, 1, 17, 19];[5, 10, 28, 16, 17, 0, 8, 28];[4, 3, 18, 9, 16, 28, 12, 10]
Sechuana;[15, 18, 5, 8, 1, 24, 9, 24];382;479;[25, 26, 11, 10, 28, 10, 28, 5];[5, 10, 28, 6, 3, 9, 19, 14];[4, 3, 18, 19, 1, 19, 1, 24]
Selachii;[15, 18, 20, 24, 5, 8, 10, 10];388;485;[25, 26, 26, 26, 3, 23, 0, 20];[5, 10, 14, 22, 7, 22, 20, 0];[4, 3, 3, 3, 26, 6, 0, 9]
Selcraig;[15, 18, 20, 5, 4, 24, 10, 6];362;459;[25, 26, 26, 7, 2, 10, 0, 16];[5, 10, 14, 3, 6, 9, 20, 25];[4, 3, 3, 22, 27, 19, 0, 13]
Seleucus;[15, 18, 20, 18, 1, 5, 1, 15];332;429;[25, 26, 26, 20, 28, 20, 20, 25];[5, 10, 14, 16, 3, 19, 11, 5];[4, 3, 3, 9, 1, 9, 9, 4]
Selznick;[15, 18, 20, 15, 9, 10, 5, 5];332;429;[25, 26, 26, 17, 7, 25, 24, 15];[5, 10, 14, 13, 11, 24, 15, 24];[4, 3, 3, 12, 22, 4, 5, 14]
Semarang;[15, 18, 19, 24, 4, 24, 9, 6];442;539;[25, 26, 25, 26, 2, 10, 28, 16];[5, 10, 13, 22, 6, 9, 19, 25];[4, 3, 4, 3, 27, 19, 1, 13]
Seminole;[15, 18, 19, 10, 9, 3, 20, 18];398;495;[25, 26, 25, 12, 7, 18, 10, 28];[5, 10, 13, 8, 11, 17, 1, 8];[4, 3, 4, 17, 22, 11, 19, 1]
Senorita;[15, 18, 9, 3, 4, 10, 16, 24];354;451;[25, 26, 15, 5, 2, 25, 6, 5];[5, 10, 3, 1, 6, 24, 26, 14];[4, 3, 14, 24, 27, 4, 23, 24]
Sephardi;[15, 18, 13, 8, 24, 4, 23, 10];414;511;[25, 26, 19, 10, 22, 19, 13, 20];[5, 10, 7, 6, 26, 18, 4, 0];[4, 3, 10, 19, 7, 10, 16, 9]
Sepiidae;[15, 18, 13, 10, 10, 23, 24, 18];478;575;[25, 26, 19, 12, 8, 9, 14, 28];[5, 10, 7, 8, 12, 8, 5, 8];[4, 3, 10, 17, 21, 20, 15, 1]
Sequoyah;[15, 18, 5, 7, 3, 26, 24, 8];382;479;[25, 26, 11, 9, 1, 12, 14, 18];[5, 10, 28, 5, 5, 11, 5, 27];[4, 3, 18, 20, 28, 17, 15, 11]
Serengeti;[15, 18, 4, 18, 21, 18, 16, 10];434;531;[25, 26, 10, 20, 19, 4, 6, 20];[5, 10, 27, 16, 23, 3, 26, 0];[4, 3, 19, 9, 10, 25, 23, 9]
Seriphus;[15, 18, 4, 10, 13, 8, 1, 15];284;381;[25, 26, 10, 12, 11, 23, 20, 25];[5, 10, 27, 8, 15, 22, 11, 5];[4, 3, 19, 17, 18, 6, 9, 4]
Serpasil;[15, 18, 4, 13, 24, 15, 10, 20];428;525;[25, 26, 10, 15, 22, 1, 0, 1];[5, 10, 27, 11, 26, 0, 20, 10];[4, 3, 19, 14, 7, 28, 0, 28]
Serranus;[15, 18, 4, 4, 24, 9, 1, 15];324;421;[25, 26, 10, 6, 22, 24, 20, 25];[5, 10, 27, 2, 26, 23, 11, 5];[4, 3, 19, 23, 7, 5, 9, 4]
Serratia;[15, 18, 4, 4, 24, 16, 10, 24];426;523;[25, 26, 10, 6, 22, 2, 0, 5];[5, 10, 27, 2, 26, 1, 20, 14];[4, 3, 19, 23, 7, 27, 0, 24]
Setswana;[15, 18, 16, 15, 7, 24, 9, 24];474;571;[25, 26, 22, 17, 5, 10, 28, 5];[5, 10, 10, 13, 9, 9, 19, 14];[4, 3, 7, 12, 24, 19, 1, 24]
Shabuoth;[15, 8, 24, 17, 1, 3, 16, 8];326;423;[25, 16, 1, 19, 28, 18, 6, 18];[5, 0, 18, 15, 3, 17, 26, 27];[4, 13, 28, 10, 1, 11, 23, 11]
Shaktism;[15, 8, 24, 5, 16, 10, 15, 19];400;497;[25, 16, 1, 7, 14, 25, 5, 0];[5, 0, 18, 3, 18, 24, 25, 9];[4, 13, 28, 22, 15, 4, 24, 0]
Shaktist;[15, 8, 24, 5, 16, 10, 15, 16];388;485;[25, 16, 1, 7, 14, 25, 5, 26];[5, 0, 18, 3, 18, 24, 25, 6];[4, 13, 28, 22, 15, 4, 24, 3]
Shavuoth;[15, 8, 24, 1, 1, 3, 16, 8];268;365;[25, 16, 1, 3, 28, 18, 6, 18];[5, 0, 18, 28, 3, 17, 26, 27];[4, 13, 28, 26, 1, 11, 23, 11]
Shenyang;[15, 8, 18, 9, 26, 24, 9, 6];418;515;[25, 16, 24, 11, 24, 10, 28, 16];[5, 0, 12, 7, 28, 9, 19, 25];[4, 13, 5, 18, 5, 19, 1, 13]
Sheraton;[15, 8, 18, 4, 24, 16, 3, 9];346;443;[25, 16, 24, 6, 22, 2, 22, 19];[5, 0, 12, 2, 26, 1, 13, 28];[4, 13, 5, 23, 7, 27, 7, 10]
Sheridan;[15, 8, 18, 4, 10, 23, 24, 9];400;497;[25, 16, 24, 6, 8, 9, 14, 19];[5, 0, 12, 2, 12, 8, 5, 28];[4, 13, 5, 23, 21, 20, 15, 10]
Sherwood;[15, 8, 18, 4, 7, 3, 3, 23];276;373;[25, 16, 24, 6, 5, 18, 22, 4];[5, 0, 12, 2, 9, 17, 13, 13];[4, 13, 5, 23, 24, 11, 7, 25]
Shetland;[15, 8, 18, 16, 20, 24, 9, 23];490;587;[25, 16, 24, 18, 18, 10, 28, 4];[5, 0, 12, 14, 22, 9, 19, 13];[4, 13, 5, 11, 11, 19, 1, 25]
Shivaism;[15, 8, 10, 1, 24, 10, 15, 19];362;459;[25, 16, 16, 3, 22, 25, 5, 0];[5, 0, 4, 28, 26, 24, 25, 9];[4, 13, 13, 26, 7, 4, 24, 0]
Shivaist;[15, 8, 10, 1, 24, 10, 15, 16];350;447;[25, 16, 16, 3, 22, 25, 5, 26];[5, 0, 4, 28, 26, 24, 25, 6];[4, 13, 13, 26, 7, 4, 24, 3]
Shockley;[15, 8, 3, 5, 5, 20, 18, 26];352;449;[25, 16, 9, 7, 3, 6, 8, 7];[5, 0, 26, 3, 7, 5, 28, 16];[4, 13, 20, 22, 26, 23, 21, 22]
Shoshone;[15, 8, 3, 15, 8, 3, 9, 18];262;359;[25, 16, 9, 17, 6, 18, 28, 28];[5, 0, 26, 13, 10, 17, 19, 8];[4, 13, 20, 12, 23, 11, 1, 1]
Shoshoni;[15, 8, 3, 15, 8, 3, 9, 10];226;323;[25, 16, 9, 17, 6, 18, 28, 20];[5, 0, 26, 13, 10, 17, 19, 0];[4, 13, 20, 12, 23, 11, 1, 9]
Sibelius;[15, 10, 17, 18, 20, 10, 1, 15];372;469;[25, 18, 23, 20, 18, 25, 20, 25];[5, 2, 11, 16, 22, 24, 11, 5];[4, 11, 6, 9, 11, 4, 9, 4]
Sidalcea;[15, 10, 23, 24, 20, 5, 18, 24];520;617;[25, 18, 0, 26, 18, 20, 8, 5];[5, 2, 17, 22, 22, 19, 28, 14];[4, 11, 0, 3, 11, 9, 21, 24]
Sigmodon;[15, 10, 6, 19, 3, 23, 3, 9];304;401;[25, 18, 12, 21, 1, 9, 22, 19];[5, 2, 0, 17, 5, 8, 13, 28];[4, 11, 17, 8, 28, 20, 7, 10]
Sihasapa;[15, 10, 8, 24, 15, 24, 13, 24];494;591;[25, 18, 14, 26, 13, 10, 3, 5];[5, 2, 2, 22, 17, 9, 23, 14];[4, 11, 15, 3, 16, 19, 26, 24]
Sikorsky;[15, 10, 5, 3, 4, 15, 5, 26];284;381;[25, 18, 11, 5, 2, 1, 24, 7];[5, 2, 28, 1, 6, 0, 15, 16];[4, 11, 18, 24, 27, 28, 5, 22]
Silphium;[15, 10, 20, 13, 8, 10, 1, 19];328;425;[25, 18, 26, 15, 6, 25, 20, 0];[5, 2, 14, 11, 10, 24, 11, 9];[4, 11, 3, 14, 23, 4, 9, 0]
Silvanus;[15, 10, 20, 1, 24, 9, 1, 15];342;439;[25, 18, 26, 3, 22, 24, 20, 25];[5, 2, 14, 28, 26, 23, 11, 5];[4, 11, 3, 26, 7, 5, 9, 4]
Simulium;[15, 10, 19, 1, 20, 10, 1, 19];336;433;[25, 18, 25, 3, 18, 25, 20, 0];[5, 2, 13, 28, 22, 24, 11, 9];[4, 11, 4, 26, 11, 4, 9, 0]
